book_name,count
Psalms,0.08806449304256254
Genesis,0.05485691500782137
Jeremiah,0.04880941426658079
Isaiah,0.04623296424664397
Numbers,0.046089828134425255
Ezekiel,0.04555306771360509
Exodus,0.04340602603032441
Luke,0.04118741629093437
Matthew,0.03831958204255232
Job,0.038288910018505457
Acts,0.03602429224304512
Deuteronomy,0.0343168829044362
1 Chronicles,0.03370855442750667
Proverbs,0.03274238567003036
John,0.03145416066006196
Leviticus,0.030738480098968398
2 Chronicles,0.029414471060945312
Mark,0.02426157102107168
Joshua,0.02354589045997812
Judges,0.022114529337791
1 Corinthians,0.015637620259894285
Romans,0.015494484147675572
Nehemiah,0.014528315390199265
Revelation,0.01446185933809772
Daniel,0.012774898015520043
Hebrews,0.010842560500567432
Ezra,0.010019527855309839
2 Corinthians,0.009196495210052245
Ecclesiastes,0.007944054228138514
Zechariah,0.007550429919537057
Hosea,0.007049453526771565
Esther,0.005975932685131225
Ephesians,0.005546524348475089
Lamentations,0.005510740320420412
Galatians,0.005331820180147022
Amos,0.0052244680959829875
1 Timothy,0.004043595170178613
James,0.0038646750299052234
1 John,0.0037573229457411894
Micah,0.0037573229457411894
1 Peter,0.0037573229457411894
Philippians,0.0037215389176865113
Colossians,0.0033994826651944096
1 Thessalonians,0.0031847784968663416
Ruth,0.0030416423846476295
2 Timothy,0.0029700743285382735
Joel,0.0026122340479914938
2 Peter,0.0021828257113353576
Habakkuk,0.0020039055710619675
Malachi,0.00196812154300729
Zephaniah,0.0018965534868979337
Jonah,0.0017176333466245438
2 Thessalonians,0.0016818493185698658
Nahum,0.0016818493185698658
Titus,0.0016460652905151878
Haggai,0.001359793066077764
Philemon,0.0008946007013669498
Jude,0.0008946007013669498
Obadiah,0.0007514645891482379
3 John,0.0005265364128045477
2 John,0.0004651923647108139
